frame,timestamp in s,success,yaw in radians,pitch in radians,x of gaze vector,y of gaze vector,z of gaze vector
157,5.205,1,-0.03,-0.073,-0.030373916029930115,-0.07341941446065903,-0.9968385100364685
158,5.239,1,-0.028,-0.093,-0.027846992015838623,-0.09327569603919983,-0.9952507019042969
159,5.272,1,-0.042,-0.094,-0.041800595819950104,-0.09394297748804092,-0.9946996569633484
160,5.305,1,-0.032,-0.085,-0.032065607607364655,-0.08469599485397339,-0.9958907961845398
161,5.339,1,-0.038,-0.109,-0.03769565373659134,-0.10864764451980591,-0.9933653473854065
162,5.372,1,-0.034,-0.114,-0.03379650041460991,-0.11400752514600754,-0.9929048418998718
163,5.405,1,-0.019,-0.078,-0.018757030367851257,-0.07829070091247559,-0.9967540502548218
164,5.439,1,-0.037,-0.079,-0.03719887137413025,-0.07929393649101257,-0.9961570501327515
165,5.472,1,-0.036,-0.091,-0.035796619951725006,-0.09085611999034882,-0.9952204823493958
166,5.506,1,-0.049,-0.092,-0.04918062686920166,-0.09178396314382553,-0.994563639163971
167,5.539,1,-0.013,-0.075,-0.013316834345459938,-0.07496568560600281,-0.9970971941947937
168,5.572,1,-0.012,-0.093,-0.011630762368440628,-0.09277968853712082,-0.9956187009811401
169,5.606,1,0.062,-0.043,0.06231651082634926,-0.04328816384077072,-0.9971172213554382
170,5.639,1,0.14,-0.044,0.13904938101768494,-0.044224631041288376,-0.9892974495887756
171,5.672,1,0.114,-0.019,0.11416731029748917,-0.01914379745721817,-0.9932770729064941
172,5.706,1,0.095,-0.018,0.09499436616897583,-0.018068531528115273,-0.995313823223114
173,5.739,1,0.136,-0.041,0.135842427611351,-0.041438616812229156,-0.989863395690918
174,5.772,1,0.114,-0.022,0.11380533874034882,-0.022494172677397728,-0.9932484030723572
175,5.806,1,0.109,-0.015,0.10848648846149445,-0.014870785176753998,-0.9939867258071899
176,5.839,1,0.131,-0.027,0.13024435937404633,-0.027229122817516327,-0.9911080002784729
177,5.873,1,0.118,-0.009,0.11796457320451736,-0.009243561886250973,-0.9929748177528381
178,5.906,1,0.136,-0.025,0.1354987770318985,-0.024983303621411324,-0.9904624819755554
179,5.939,1,0.103,-0.003,0.10289715230464935,-0.003278132528066635,-0.9946865439414978
180,5.973,1,0.108,-0.019,0.10754197835922241,-0.01944173499941826,-0.9940103888511658
181,6.006,1,0.103,-0.017,0.10277044773101807,-0.017346711829304695,-0.994553804397583
182,6.039,1,0.117,-0.016,0.1170448362827301,-0.01636587269604206,-0.9929918050765991
183,6.073,1,0.113,-0.015,0.11251561343669891,-0.014858107082545757,-0.9935388565063477
184,6.106,1,0.12,-0.026,0.1193096935749054,-0.026034832000732422,-0.9925156831741333
185,6.139,1,0.114,-0.028,0.11341995745897293,-0.02761269360780716,-0.9931634068489075
186,6.173,1,0.109,-0.026,0.10889232903718948,-0.025971954688429832,-0.9937141537666321
187,6.206,1,0.103,-0.007,0.10267799347639084,-0.006758925970643759,-0.9946916699409485
188,6.24,1,0.122,-0.004,0.12193337827920914,-0.003591158427298069,-0.9925317168235779
189,6.273,1,0.105,-0.001,0.10517176240682602,-0.001301696291193366,-0.9944532513618469
190,6.306,1,0.112,-0.017,0.11223053187131882,-0.01708415523171425,-0.9935353398323059
191,6.34,1,0.103,-0.028,0.10266273468732834,-0.02807496301829815,-0.9943199157714844
192,6.373,1,0.111,-0.012,0.11097078025341034,-0.011927595362067223,-0.993752121925354
193,6.406,1,0.107,-0.026,0.10660514235496521,-0.02596956677734852,-0.9939622282981873
194,6.44,1,0.1,-0.009,0.09944470971822739,-0.009195736609399319,-0.9950006604194641
195,6.473,1,0.107,-0.01,0.10709132254123688,-0.00972739141434431,-0.99420166015625
196,6.507,1,0.113,-0.008,0.11276406049728394,-0.008165827952325344,-0.9935883283615112
197,6.54,1,0.106,-0.035,0.10565324872732162,-0.035257019102573395,-0.9937778115272522
198,6.573,1,0.103,-0.002,0.10264826565980911,-0.001922221970744431,-0.9947158098220825
199,6.607,1,0.111,-0.001,0.11062772572040558,-0.0013391514075919986,-0.9938610196113586
200,6.64,1,0.114,-0.005,0.11327359080314636,-0.004933618474751711,-0.9935515522956848
201,6.673,1,0.092,-0.002,0.0921204537153244,-0.0022068091202527285,-0.9957454204559326
202,6.707,1,0.101,-0.011,0.10058494657278061,-0.010637749917805195,-0.9948716759681702
203,6.74,1,0.114,-0.016,0.11340365558862686,-0.01580692082643509,-0.9934231638908386
204,6.773,1,0.118,-0.028,0.11792295426130295,-0.027932755649089813,-0.9926297068595886
205,6.807,1,0.125,-0.017,0.12441585958003998,-0.01665085181593895,-0.9920904636383057
206,6.84,1,0.127,-0.027,0.12665154039859772,-0.026922285556793213,-0.9915817975997925
207,6.874,1,0.102,-0.026,0.1014418825507164,-0.026401232928037643,-0.9944911003112793
208,6.907,1,0.113,-0.02,0.11249769479036331,-0.020342551171779633,-0.9934437870979309
209,6.94,1,0.116,-0.022,0.11610610783100128,-0.022361701354384422,-0.9929850101470947
210,6.974,1,0.09,-0.016,0.08962376415729523,-0.015801923349499702,-0.9958504438400269
211,7.007,1,0.089,-0.028,0.08905545622110367,-0.028202462941408157,-0.9956272840499878
212,7.04,1,0.119,-0.005,0.11886987090110779,-0.004852167330682278,-0.9928980469703674
213,7.074,1,0.093,-0.025,0.09250891953706741,-0.02507236786186695,-0.995396077632904
214,7.107,1,0.097,-0.022,0.09641603380441666,-0.02182576060295105,-0.9951018691062927
215,7.14,1,0.115,-0.022,0.11447011679410934,-0.021993573755025864,-0.9931831955909729
216,7.174,1,0.111,-0.006,0.11082755029201508,-0.005589946173131466,-0.9938240051269531
217,7.207,1,0.101,-0.022,0.10047824680805206,-0.02162284217774868,-0.9947041273117065
218,7.241,1,0.08,-0.031,0.0796218141913414,-0.03067510761320591,-0.996353030204773
219,7.274,1,0.094,-0.022,0.09368066489696503,-0.021987156942486763,-0.9953595399856567
220,7.307,1,0.115,-0.01,0.11491689085960388,-0.010422300547361374,-0.9933204650878906
221,7.341,1,0.092,-0.013,0.0921969786286354,-0.01304925698786974,-0.9956552982330322
222,7.374,1,0.103,-0.01,0.1024186909198761,-0.01042165420949459,-0.9946867823600769
223,7.407,1,0.114,0.003,0.11409616470336914,0.003065563039854169,-0.993465006351471
224,7.441,1,0.117,-0.002,0.11701230704784393,-0.0022995094768702984,-0.9931278228759766
225,7.474,1,0.095,-0.026,0.09453786909580231,-0.026413818821310997,-0.9951707720756531
226,7.508,1,0.096,-0.025,0.09544654935598373,-0.024865848943591118,-0.9951238632202148
227,7.541,1,0.111,-0.013,0.11040252447128296,-0.013010302558541298,-0.9938017129898071
228,7.574,1,0.112,-0.003,0.1116761788725853,-0.002636619145050645,-0.9937411546707153
229,7.608,1,0.095,-0.028,0.09454025328159332,-0.027623316273093224,-0.9951376914978027
230,7.641,1,0.112,-0.014,0.11176090687513351,-0.01397160068154335,-0.993636965751648
231,7.674,1,0.104,-0.01,0.10398692637681961,-0.009958617389202118,-0.9945287704467773
232,7.708,1,0.085,-0.021,0.08439438045024872,-0.02128083072602749,-0.9962051510810852
233,7.741,1,0.126,-0.006,0.1253538876771927,-0.005966691300272942,-0.9920942187309265
234,7.774,1,0.091,-0.024,0.09112720191478729,-0.023707984015345573,-0.9955570697784424
235,7.808,1,0.124,0.005,0.12336251884698868,0.004900788888335228,-0.9923495054244995
236,7.841,1,0.118,-0.009,0.11735831946134567,-0.008923439309000969,-0.9930495023727417
237,7.875,1,0.113,-0.004,0.11289593577384949,-0.004018815234303474,-0.9935986995697021
238,7.908,1,0.104,-0.024,0.10346421599388123,-0.023849979043006897,-0.9943472146987915
239,7.941,1,0.104,-0.02,0.1033090204000473,-0.01990470476448536,-0.9944501519203186
240,7.975,1,0.104,-0.024,0.10391648858785629,-0.024203861132264137,-0.9942914843559265
241,8.008,1,0.113,-0.028,0.11314383894205093,-0.027564559131860733,-0.9931961894035339
242,8.041,1,0.096,-0.019,0.0956186056137085,-0.01925160363316536,-0.9952318668365479
243,8.075,1,0.096,-0.016,0.09568455815315247,-0.016120467334985733,-0.9952811002731323
244,8.108,1,0.093,-0.012,0.09286928176879883,-0.01238233782351017,-0.9956014156341553
245,8.141,1,0.113,-0.004,0.11266099661588669,-0.003788931528106332,-0.9936262965202332
246,8.175,1,0.095,-0.012,0.0945494994521141,-0.01157032884657383,-0.995452880859375
247,8.208,1,0.139,0.024,0.13848254084587097,0.024439522996544838,-0.9900633096694946
248,8.242,1,0.206,0.042,0.20463231205940247,0.042435936629772186,-0.9779186248779297
249,8.275,1,0.168,0.042,0.1674124002456665,0.04148925468325615,-0.9850136041641235
250,8.308,1,0.178,0.019,0.1768747717142105,0.018645331263542175,-0.9840567708015442
251,8.342,1,0.187,0.009,0.18626388907432556,0.008838433772325516,-0.9824599623680115
252,8.375,1,0.191,0.028,0.19012236595153809,0.028055274859070778,-0.9813594222068787
253,8.408,1,0.272,0.113,0.26686543226242065,0.1130756288766861,-0.9570772051811218
254,8.442,1,0.264,0.103,0.2591411769390106,0.10240012407302856,-0.9603958129882812
255,8.475,1,0.277,0.128,0.2712920606136322,0.12759193778038025,-0.9540025591850281
256,8.509,1,0.26,0.137,0.2547476887702942,0.13672734797000885,-0.9572926759719849
257,8.542,1,0.287,0.097,0.28181180357933044,0.09668967872858047,-0.9545853137969971
258,8.575,1,0.285,0.098,0.2798641622066498,0.0973639264702797,-0.9550896883010864
259,8.609,1,0.285,0.115,0.27929192781448364,0.11454867571592331,-0.9533491730690002
260,8.642,1,0.302,0.119,0.29507333040237427,0.11843506246805191,-0.9481058716773987
261,8.675,1,0.279,0.11,0.2733486294746399,0.109981968998909,-0.9556068778038025
262,8.709,1,0.29,0.108,0.2844141721725464,0.10757508128881454,-0.9526469707489014
263,8.742,1,0.289,0.107,0.282920777797699,0.10637148469686508,-0.9532265663146973
264,8.775,1,0.28,0.099,0.27468523383140564,0.09926968067884445,-0.9563961029052734
265,8.809,1,0.301,0.102,0.29501238465309143,0.10220487415790558,-0.9500114917755127
266,8.842,1,0.278,0.099,0.27303647994995117,0.09905324876308441,-0.9568905234336853
267,8.876,1,0.279,0.106,0.27421626448631287,0.10585089772939682,-0.9558247923851013
268,8.909,1,0.26,0.11,0.25560176372528076,0.10959544777870178,-0.9605501294136047
269,8.942,1,0.289,0.111,0.2829444408416748,0.11074148863554001,-0.9527217745780945
270,8.976,1,0.302,0.105,0.29597389698028564,0.10514524579048157,-0.9493914246559143
271,9.009,1,0.25,0.12,0.2457846999168396,0.1197810024023056,-0.961895227432251
272,9.042,1,0.281,0.134,0.2752760350704193,0.133400559425354,-0.9520648121833801
273,9.076,1,0.286,0.118,0.28055495023727417,0.11803258210420609,-0.9525529742240906
274,9.109,1,0.288,0.119,0.28205519914627075,0.1183025911450386,-0.9520763754844666
275,9.142,1,0.307,0.099,0.3009084463119507,0.09851321578025818,-0.9485511183738708
276,9.176,1,0.289,0.124,0.282601922750473,0.1241065040230751,-0.9511749148368835
277,9.209,1,0.285,0.11,0.2791670560836792,0.10983354598283768,-0.9539403915405273
278,9.243,1,0.283,0.12,0.2776336073875427,0.11978960782289505,-0.9531894326210022
279,9.276,1,0.275,0.131,0.26930665969848633,0.13041190803050995,-0.9541837573051453
280,9.309,1,0.28,0.12,0.2739297151565552,0.12018537521362305,-0.954210638999939
281,9.343,1,0.283,0.114,0.277258038520813,0.11328059434890747,-0.9540940523147583
282,9.376,1,0.294,0.114,0.2877369821071625,0.11348897218704224,-0.9509614706039429
283,9.409,1,0.285,0.13,0.27861061692237854,0.13002271950244904,-0.9515619874000549
284,9.443,1,0.268,0.126,0.2629910111427307,0.12597885727882385,-0.9565380215644836
285,9.476,1,0.301,0.126,0.294019877910614,0.12544095516204834,-0.9475319981575012
286,9.51,1,0.285,0.135,0.2789895832538605,0.13502852618694305,-0.9507534503936768
287,9.543,1,0.295,0.115,0.28913116455078125,0.11490750312805176,-0.9503680467605591
288,9.576,1,0.296,0.107,0.2900843322277069,0.10666565597057343,-0.951038122177124
289,9.61,1,0.295,0.122,0.28820639848709106,0.12178844213485718,-0.9497919082641602
290,9.643,1,0.298,0.115,0.2918570637702942,0.11488375067710876,-0.9495372772216797
291,9.676,1,0.31,0.12,0.30331259965896606,0.11981760710477829,-0.9453281164169312
292,9.71,1,0.253,0.133,0.24790313839912415,0.13239336013793945,-0.9596957564353943
293,9.743,1,0.309,0.1,0.30239108204841614,0.10003012418746948,-0.9479206800460815
294,9.776,1,0.293,0.123,0.28632956743240356,0.12226993590593338,-0.9502975344657898
295,9.81,1,0.279,0.12,0.27351847290992737,0.11953083425760269,-0.9544107913970947
296,9.843,1,0.254,0.137,0.24914303421974182,0.13654926419258118,-0.958791971206665
297,9.877,1,0.253,0.134,0.24821950495243073,0.13382185995578766,-0.959415853023529
298,9.91,1,0.303,0.123,0.29623574018478394,0.12223485857248306,-0.9472607970237732
299,9.943,1,0.304,0.108,0.29760512709617615,0.10776251554489136,-0.9485875368118286
300,9.977,1,0.301,0.112,0.29453960061073303,0.11189007014036179,-0.9490663409233093
301,10.01,1,0.25,0.123,0.2457326203584671,0.1226968988776207,-0.961540937423706
302,10.043,1,0.281,0.114,0.2757365107536316,0.11365032196044922,-0.9544909596443176
303,10.077,1,0.3,0.115,0.2937191426753998,0.11467815190553665,-0.9489878416061401
304,10.11,1,0.293,0.109,0.28737249970436096,0.108425073325634,-0.9516622424125671
305,10.143,1,0.301,0.132,0.29409512877464294,0.1313009411096573,-0.9467144012451172
306,10.177,1,0.256,0.119,0.2518281936645508,0.11911029368638992,-0.9604141712188721
307,10.21,1,0.257,0.118,0.2524944841861725,0.11782252043485641,-0.9603980183601379
308,10.244,1,0.292,0.116,0.2854558825492859,0.11610008031129837,-0.9513336420059204
309,10.277,1,0.304,0.1,0.2979114353656769,0.10007216781377792,-0.9493336081504822
