frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,yaw in radians,pitch in radians
57,0,1.869,0.98,1,0.169399,0.007794,-0.985517,0.108229,-0.019778,-0.993929,0.139,-0.006
58,0,1.902,0.98,1,0.187884,0.006558,-0.982169,0.106903,-0.013934,-0.994172,0.148,-0.004
59,0,1.935,0.98,1,0.184816,0.006528,-0.982751,0.105795,-0.012655,-0.994307,0.146,-0.003
60,0,1.969,0.98,1,0.183015,0.00991,-0.98306,0.106245,-0.015365,-0.994221,0.145,-0.003
61,0,2.002,0.98,1,0.173338,0.010128,-0.98481,0.102249,-0.019543,-0.994567,0.138,-0.005
62,0,2.035,0.98,1,0.15423,0.00911,-0.987993,0.105303,-0.021657,-0.994204,0.13,-0.006
63,0,2.069,0.98,1,0.168295,0.009546,-0.98569,0.104712,-0.022944,-0.994238,0.137,-0.007
64,0,2.102,0.98,1,0.175737,0.009046,-0.984396,0.102394,-0.021392,-0.994514,0.14,-0.006
65,0,2.135,0.98,1,0.184768,0.009043,-0.982741,0.102784,-0.019904,-0.994505,0.144,-0.005
66,0,2.169,0.98,1,0.182408,0.008705,-0.983184,0.100351,-0.021871,-0.994712,0.142,-0.007
67,0,2.202,0.98,1,0.18121,0.006683,-0.983422,0.099825,-0.022406,-0.994753,0.141,-0.008
68,0,2.236,0.98,1,0.186973,0.003525,-0.982359,0.09962,-0.019025,-0.994844,0.144,-0.008
69,0,2.269,0.98,1,0.187255,0.001324,-0.98231,0.101185,-0.024091,-0.994576,0.145,-0.012
70,0,2.302,0.98,1,0.18668,0.000232,-0.982421,0.10169,-0.024176,-0.994522,0.145,-0.012
71,0,2.336,0.98,1,0.182737,0.000558,-0.983162,0.100474,-0.016217,-0.994807,0.142,-0.008
72,0,2.369,0.98,1,0.169087,-0.00142,-0.9856,0.088689,-0.01657,-0.995921,0.129,-0.009
73,0,2.402,0.98,1,0.100334,0.017289,-0.994804,-0.000613,-0.011042,-0.999939,0.05,0.003
74,0,2.436,0.98,1,0.031457,0.043608,-0.998553,-0.061989,-0.009631,-0.99803,-0.015,0.017
75,0,2.469,0.98,1,0.014756,0.050817,-0.998599,-0.076042,-0.02174,-0.996868,-0.031,0.015
76,0,2.503,0.98,1,0.004205,0.048249,-0.998827,-0.089611,-0.021771,-0.995739,-0.043,0.013
77,0,2.536,0.98,1,0.002762,0.040628,-0.999171,-0.094038,-0.024713,-0.995262,-0.046,0.008
78,0,2.569,0.98,1,-0.000106,0.03889,-0.999243,-0.096626,-0.021821,-0.995082,-0.048,0.009
79,0,2.603,0.98,1,-0.006328,0.03201,-0.999467,-0.099899,-0.014089,-0.994898,-0.053,0.009
80,0,2.636,0.98,1,-0.017497,0.030484,-0.999382,-0.097049,-0.021993,-0.995037,-0.057,0.004
81,0,2.669,0.98,1,-0.025474,0.026243,-0.999331,-0.109535,-0.022963,-0.993718,-0.068,0.002
82,0,2.703,0.98,1,-0.027637,0.038211,-0.998887,-0.122976,-0.013111,-0.992323,-0.075,0.013
83,0,2.736,0.98,1,-0.033857,0.035295,-0.998803,-0.13812,-0.004775,-0.990404,-0.086,0.015
84,0,2.769,0.98,1,-0.037991,0.038181,-0.998548,-0.133592,-0.014474,-0.990931,-0.086,0.012
85,0,2.803,0.98,1,-0.045308,0.035687,-0.998335,-0.138702,-0.024373,-0.990034,-0.092,0.006
86,0,2.836,0.98,1,-0.051534,0.030227,-0.998214,-0.155304,-0.021616,-0.98763,-0.104,0.004
87,0,2.87,0.98,1,-0.04935,0.014529,-0.998676,-0.165649,-0.028444,-0.985774,-0.108,-0.007
88,0,2.903,0.98,1,-0.055875,0.000996,-0.998437,-0.170882,-0.029975,-0.984835,-0.114,-0.015
89,0,2.936,0.98,1,-0.064293,0.004138,-0.997922,-0.168706,-0.026582,-0.985308,-0.117,-0.011
90,0,2.97,0.98,1,-0.063731,0.026347,-0.997619,-0.214406,0.007454,-0.976716,-0.14,0.017
91,0,3.003,0.98,1,-0.067395,0.0276,-0.997345,-0.234693,0.016145,-0.971935,-0.152,0.022
92,0,3.036,0.98,1,-0.070301,0.024474,-0.997226,-0.240987,0.020503,-0.970312,-0.157,0.023
93,0,3.07,0.98,1,-0.071155,0.038925,-0.996705,-0.237737,0.040832,-0.970471,-0.156,0.041
94,0,3.103,0.98,1,-0.051585,0.031332,-0.998177,-0.173695,0.004276,-0.98479,-0.113,0.018
95,0,3.136,0.98,1,-0.055983,0.016157,-0.998301,-0.172528,-0.002477,-0.985001,-0.115,0.007
96,0,3.17,0.98,1,-0.060369,0.039629,-0.997389,-0.196545,0.028368,-0.980084,-0.129,0.034
97,0,3.203,0.98,1,-0.067907,0.02907,-0.997268,-0.23283,0.042321,-0.971596,-0.152,0.036
98,0,3.237,0.98,1,-0.067183,0.049054,-0.996534,-0.241829,0.052293,-0.968909,-0.156,0.052
99,0,3.27,0.98,1,-0.059489,0.056666,-0.996619,-0.246801,0.058912,-0.967274,-0.155,0.059
100,0,3.303,0.98,1,-0.059557,0.06061,-0.996383,-0.241366,0.057594,-0.968724,-0.152,0.06
101,0,3.337,0.98,1,-0.061719,0.052449,-0.996715,-0.2346,0.061631,-0.970136,-0.15,0.058
102,0,3.37,0.98,1,-0.055548,0.027478,-0.998078,-0.172052,-0.005297,-0.985074,-0.114,0.011
103,0,3.403,0.98,1,-0.065753,0.039856,-0.99704,-0.193733,0.029432,-0.980613,-0.13,0.035
104,0,3.437,0.98,1,-0.076963,0.035999,-0.996384,-0.226936,0.045123,-0.972864,-0.153,0.041
105,0,3.47,0.98,1,-0.078979,0.03855,-0.996131,-0.224751,0.039125,-0.97363,-0.153,0.039
106,0,3.504,0.98,1,-0.078246,0.037927,-0.996212,-0.237092,0.050705,-0.970163,-0.159,0.045
107,0,3.537,0.98,1,-0.079063,0.041453,-0.996007,-0.238198,0.051958,-0.969826,-0.16,0.047
108,0,3.57,0.98,1,-0.070781,0.042603,-0.996582,-0.236272,0.053376,-0.97022,-0.155,0.049
109,0,3.604,0.98,1,-0.06656,0.042778,-0.996865,-0.242035,0.068791,-0.967826,-0.156,0.057
110,0,3.637,0.98,1,-0.068272,0.058154,-0.99597,-0.243186,0.060477,-0.968092,-0.157,0.06
111,0,3.67,0.98,1,-0.070688,0.064911,-0.995384,-0.238238,0.05577,-0.969604,-0.156,0.061
112,0,3.704,0.98,1,-0.054776,0.035892,-0.997853,-0.192648,0.016619,-0.981127,-0.124,0.027
113,0,3.737,0.98,1,-0.067393,0.02912,-0.997301,-0.190162,0.016468,-0.981615,-0.129,0.023
114,0,3.77,0.98,1,-0.071113,0.029845,-0.997022,-0.225327,0.038455,-0.973524,-0.149,0.035
115,0,3.804,0.98,1,-0.081015,0.033095,-0.996163,-0.241237,0.047453,-0.969305,-0.163,0.041
116,0,3.837,0.98,1,-0.080748,0.031801,-0.996227,-0.239767,0.043633,-0.969849,-0.162,0.038
117,0,3.871,0.98,1,-0.080795,0.036446,-0.996064,-0.239036,0.051932,-0.969621,-0.161,0.045
118,0,3.904,0.98,1,-0.078866,0.041748,-0.996011,-0.22595,0.045454,-0.973078,-0.154,0.044
119,0,3.937,0.98,1,-0.077039,0.0491,-0.995818,-0.220558,0.043535,-0.974402,-0.15,0.047
120,0,3.971,0.98,1,-0.078022,0.048369,-0.995778,-0.2237,0.044433,-0.973645,-0.152,0.047
121,0,4.004,0.98,1,-0.0768,0.054036,-0.995581,-0.224681,0.043107,-0.973478,-0.152,0.049
122,0,4.037,0.98,1,-0.075589,0.051628,-0.995802,-0.231715,0.046068,-0.971692,-0.155,0.05
123,0,4.071,0.98,1,-0.079475,0.060215,-0.995017,-0.219754,0.041392,-0.974677,-0.151,0.052
124,0,4.104,0.98,1,-0.062696,0.032683,-0.997497,-0.187034,0.006351,-0.982333,-0.125,0.02
