frame,timestamp in s,success,yaw in radians,pitch in radians
181,6.006,1,-0.091,-0.182
182,6.039,1,-0.055,-0.126
183,6.073,1,-0.037,-0.053
184,6.106,1,-0.051,-0.23
185,6.139,1,-0.049,-0.101
186,6.173,1,-0.107,-0.202
187,6.206,1,-0.093,-0.212
188,6.24,1,-0.085,-0.234
189,6.273,1,-0.051,-0.185
190,6.306,1,-0.097,-0.235
191,6.34,1,-0.073,-0.116
192,6.373,1,-0.112,-0.11
193,6.406,1,-0.081,-0.188
194,6.44,1,-0.068,-0.148
195,6.473,1,-0.071,-0.157
196,6.507,1,-0.036,-0.163
197,6.54,1,-0.119,-0.205
198,6.573,1,-0.066,-0.114
199,6.607,1,-0.09,-0.196
200,6.64,1,-0.082,-0.095
201,6.673,1,-0.121,-0.141
202,6.707,1,-0.078,-0.229
203,6.74,1,-0.125,-0.219
204,6.773,1,-0.081,-0.191
205,6.807,1,-0.111,-0.213
206,6.84,1,-0.127,-0.187
207,6.874,1,-0.138,-0.208
208,6.907,1,-0.129,-0.181
209,6.94,1,-0.152,-0.206
210,6.974,1,-0.111,-0.196
211,7.007,1,-0.126,-0.235
212,7.04,1,-0.118,-0.18
213,7.074,1,-0.08,-0.175
214,7.107,1,-0.158,-0.151
215,7.14,1,-0.161,-0.16
216,7.174,1,-0.091,-0.22
217,7.207,1,-0.073,-0.167
218,7.241,1,-0.138,-0.214
219,7.274,1,-0.112,-0.233
220,7.307,1,-0.069,-0.259
221,7.341,1,-0.12,-0.178
222,7.374,1,-0.09,-0.187
223,7.407,1,-0.073,-0.201
224,7.441,1,-0.168,-0.217
225,7.474,1,-0.111,-0.199
226,7.508,1,-0.122,-0.231
227,7.541,1,-0.133,-0.215
228,7.574,1,-0.135,-0.214
229,7.608,1,-0.104,-0.16
230,7.641,1,-0.072,-0.218
231,7.674,1,-0.061,-0.165
232,7.708,1,-0.068,-0.115
233,7.741,1,-0.106,-0.213
234,7.774,1,-0.095,-0.207
235,7.808,1,-0.123,-0.206
236,7.841,1,-0.103,-0.209
237,7.875,1,-0.085,-0.2
238,7.908,1,-0.111,-0.217
239,7.941,1,-0.08,-0.239
240,7.975,1,-0.107,-0.267
241,8.008,1,-0.081,-0.204
242,8.041,1,-0.158,-0.178
243,8.075,1,-0.084,-0.211
244,8.108,1,-0.085,-0.204
245,8.141,1,-0.092,-0.223
246,8.175,1,-0.088,-0.216
247,8.208,1,-0.059,-0.227
248,8.242,1,-0.042,-0.271
249,8.275,1,0.046,-0.214
250,8.308,1,-0.024,-0.301
251,8.342,1,-0.001,-0.096
252,8.375,1,0.004,-0.297
253,8.408,1,-0.073,-0.212
254,8.442,1,-0.089,-0.199
255,8.475,1,-0.052,-0.253
256,8.509,1,-0.124,-0.247
257,8.542,1,-0.089,-0.253
258,8.575,1,-0.125,-0.216
259,8.609,1,0.01,-0.233
260,8.642,1,-0.019,-0.168
261,8.675,1,-0.03,-0.202
262,8.709,1,-0.109,-0.245
263,8.742,1,-0.125,-0.225
264,8.775,1,0.009,-0.175
265,8.809,1,-0.082,-0.292
266,8.842,1,-0.099,-0.279
267,8.876,1,-0.096,-0.23
268,8.909,1,-0.076,-0.267
269,8.942,1,0.009,-0.205
270,8.976,1,-0.029,-0.187
271,9.009,1,-0.022,-0.223
272,9.042,1,-0.004,-0.15
273,9.076,1,-0.059,-0.273
274,9.109,1,-0.08,-0.104
275,9.142,1,-0.073,-0.203
276,9.176,1,-0.037,-0.203
277,9.209,1,-0.02,-0.198
278,9.243,1,-0.023,-0.178
279,9.276,1,-0.059,-0.283
280,9.309,1,-0.028,-0.213
281,9.343,1,-0.138,-0.199
282,9.376,1,-0.071,-0.285
283,9.409,1,-0.092,-0.22
284,9.443,1,-0.03,-0.178
285,9.476,1,-0.019,-0.184
286,9.51,1,-0.082,-0.12
287,9.543,1,-0.107,-0.223
288,9.576,1,-0.113,-0.208
289,9.61,1,-0.097,-0.205
290,9.643,1,-0.02,-0.17
291,9.676,1,-0.083,-0.196
292,9.71,1,-0.089,-0.167
293,9.743,1,-0.05,-0.204
294,9.776,1,0.019,-0.166
295,9.81,1,-0.06,-0.201
296,9.843,1,-0.081,-0.289
297,9.877,1,-0.035,-0.139
298,9.91,1,-0.022,-0.114
