frame,timestamp in s,success,yaw in radians,pitch in radians
183,6.073,1,0.033,0.072
184,6.106,1,0.038,0.073
185,6.139,1,0.015,0.07
186,6.173,1,0.007,0.069
187,6.206,1,0.007,0.082
188,6.24,1,0.005,0.087
189,6.273,1,0.009,0.066
190,6.306,1,-0.008,0.076
191,6.34,1,0.007,0.103
192,6.373,1,0.004,0.097
193,6.406,1,0.002,0.087
194,6.44,1,-0.01,0.071
195,6.473,1,0.005,0.08
196,6.507,1,0.01,0.079
197,6.54,1,0.015,0.075
198,6.573,1,0.016,0.076
199,6.607,1,0.017,0.082
200,6.64,1,0.011,0.086
201,6.673,1,0.01,0.073
202,6.707,1,0.003,0.057
203,6.74,1,-0.009,0.039
204,6.773,1,-0.02,0.047
205,6.807,1,-0.008,0.054
206,6.84,1,0.007,0.055
207,6.874,1,-0.007,0.053
208,6.907,1,-0.002,0.085
209,6.94,1,0.001,0.074
210,6.974,1,0.014,0.087
211,7.007,1,0.01,0.059
212,7.04,0,nan,nan
213,7.074,0,nan,nan
214,7.107,1,0.01,0.064
215,7.14,1,0.003,0.031
216,7.174,1,0.016,0.04
217,7.207,1,0.01,0.039
218,7.241,1,0.023,0.059
219,7.274,1,0.018,0.076
220,7.307,1,0.02,0.072
221,7.341,1,0.019,0.076
222,7.374,1,0.023,0.064
223,7.407,1,0.032,0.047
224,7.441,1,0.01,0.024
225,7.474,1,0.025,0.039
226,7.508,1,0.019,0.052
227,7.541,1,0.017,0.051
228,7.574,1,0.024,0.055
229,7.608,1,0.024,0.051
230,7.641,1,0.014,0.039
231,7.674,1,0.013,0.053
232,7.708,1,0.014,0.053
233,7.741,1,0.032,0.055
234,7.774,1,0.032,0.066
235,7.808,1,0.022,0.069
236,7.841,1,0.016,0.046
237,7.875,1,0.029,0.066
238,7.908,1,0.016,0.065
239,7.941,1,0.012,0.072
240,7.975,1,0.02,0.069
241,8.008,1,0.021,0.078
242,8.041,1,0.015,0.074
243,8.075,1,0.014,0.086
244,8.108,1,0.021,0.066
245,8.141,1,0.017,0.08
246,8.175,1,0.014,0.083
247,8.208,1,0.074,0.096
248,8.242,1,0.171,0.216
249,8.275,1,0.215,0.212
250,8.308,1,0.202,0.215
251,8.342,1,0.202,0.183
252,8.375,1,0.213,0.208
253,8.408,1,0.228,0.233
254,8.442,1,0.255,0.24
255,8.475,1,0.257,0.23
256,8.509,1,0.224,0.228
257,8.542,1,0.191,0.178
258,8.575,1,0.196,0.211
259,8.609,1,0.199,0.209
260,8.642,1,0.192,0.187
261,8.675,1,0.201,0.238
262,8.709,1,0.184,0.176
263,8.742,1,0.176,0.184
264,8.775,1,0.227,0.197
265,8.809,1,0.2,0.19
266,8.842,1,0.208,0.205
267,8.876,1,0.208,0.18
268,8.909,1,0.214,0.198
269,8.942,1,0.216,0.204
270,8.976,1,0.208,0.205
271,9.009,1,0.21,0.212
272,9.042,1,0.232,0.238
273,9.076,1,0.233,0.229
